KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+
38,MOJO,"8,028,306,999","350,779,323",4.37%,"9,384,819,638","85,326,233","17,081,101,235",105,"73,298,024",6,0,0,0,0,44,24,3,1,0,0,0
39,CRKT,"2,075,014,106","78,661,777",3.79%,"4,624,978,938","24,063,776","3,962,174,170",27,"71,429,921",1,1,1,1,1,12,9,3,1,0,0,0
40,TFS,"16,285,069,102","2,983,142,392",18.32%,"79,329,917,681","485,692,081","61,839,520,175",158,"106,798,862",91,63,31,17,13,97,95,80,56,19,5,2
41,,"1,669,108,006","590,431",0.04%,"3,317,937,626","29,879,042","3,592,310,248",19,"87,847,790",0,0,0,0,0,12,9,4,1,0,0,0
42,,"1,511,523,375","1,191,276",0.08%,"858,494,673","19,707,040","1,648,589,590",33,"43,726,629",0,0,0,0,0,2,1,0,0,0,0,0
43,~ER~,"5,691,288,915","372,058,447",6.54%,"7,868,476,571","71,988,494","13,410,814,449",70,"78,292,883",12,6,1,1,0,35,17,3,0,0,0,0
44,APES,"2,118,182,381","4,592,270",0.22%,"3,237,893,003","31,761,764","4,175,628,555",32,"56,545,921",0,0,0,0,0,8,3,0,0,0,0,0
45,~~BB,"13,452,925,571","1,268,607,441",9.43%,"28,370,620,170","224,927,869","41,763,398,375",165,"80,124,475",56,6,1,0,0,96,44,4,0,0,0,0
46,DawN,"11,851,122,940","474,163,724",4.00%,"19,447,347,954","147,405,470","27,330,137,996",147,"77,733,670",8,1,1,1,1,67,38,9,4,1,0,0
47,-FU,"13,011,349,195","1,988,177,438",15.28%,"47,536,128,538","290,359,912","47,159,908,354",127,"101,757,411",84,34,13,3,3,94,73,30,11,3,0,0
48,MCU,"9,828,975,534","561,746,495",5.72%,"12,739,204,459","151,544,622","22,759,316,328",133,"69,527,567",12,1,0,0,0,43,24,2,1,0,0,0
49,NTS,"30,512,089,459","5,280,810,941",17.31%,"150,030,504,396","732,311,229","113,155,695,572",262,"119,991,548",182,127,55,28,19,184,178,151,98,32,15,6
50,50W,"6,247,674,339","53,900,151",0.86%,"5,069,629,122","52,954,755","9,046,736,776",96,"62,199,845",0,0,0,0,0,21,11,4,0,0,0,0
51,GE4R,"8,470,543,811","471,824,671",5.57%,"15,417,835,659","104,742,404","19,907,057,279",103,"78,233,673",16,2,1,0,0,48,31,7,2,0,0,0
52,YAP!,"7,562,577,374","961,416,249",12.71%,"20,380,000,902","128,046,947","19,171,357,440",93,"79,586,754",36,11,5,2,1,45,30,14,4,0,0,0
53,M/A,"4,594,386,448","48,550,164",1.06%,"3,804,265,191","49,750,814","7,389,787,955",70,"56,893,226",1,0,0,0,0,7,4,1,0,0,0,0
54,:54:,"1,407,093,502","608,979",0.04%,"561,724,278","11,451,924","1,444,456,643",25,"50,637,641",0,0,0,0,0,4,3,0,0,0,0,0
55,OGV,"11,619,978,328","381,605,059",3.28%,"15,055,324,483","148,184,303","24,369,077,156",145,"76,534,882",8,1,0,0,0,72,35,5,1,0,0,0
56,K-56,"5,216,452,127","185,224,357",3.55%,"6,185,995,862","44,316,548","8,802,279,893",71,"69,636,801",7,2,0,0,0,24,17,4,0,0,0,0
57,,"1,054,011,721","36,810,790",3.49%,"1,457,434,200","13,654,659","2,211,211,679",14,"64,843,985",2,0,0,0,0,6,3,1,0,0,0,0
58,88D,"2,353,491,900","70,316,973",2.99%,"3,497,998,944","30,167,231","4,082,531,838",38,"61,831,943",4,0,0,0,0,10,7,4,1,0,0,0
59,Meep,"3,200,316,758","61,480,909",1.92%,"2,476,716,880","43,264,465","4,375,856,718",56,"48,942,738",2,0,0,0,0,5,2,1,0,0,0,0
60,MILK,"21,771,162,491","4,548,153,934",20.89%,"124,404,742,842","746,738,796","84,078,248,143",152,"145,963,693",108,97,75,49,33,113,112,102,83,38,17,5
61,-EOL,"3,009,765,411","10,870,011",0.36%,"5,787,869,864","31,121,759","6,048,889,927",38,"77,784,952",0,0,0,0,0,18,14,5,2,0,0,0
62,-FG-,"12,401,413,799","2,443,199,464",19.70%,"44,423,084,829","260,246,906","51,482,533,296",141,"90,034,209",103,50,14,4,4,108,67,17,5,2,0,0
63,EBB,"4,572,879,776","87,998,246",1.92%,"2,726,017,982","39,790,654","6,687,437,759",83,"51,029,325",0,0,0,0,0,9,4,1,0,0,0,0
64,BoM~,"4,635,416,171","238,897,874",5.15%,"9,732,233,920","61,780,100","12,183,333,353",56,"79,060,663",11,1,1,1,1,29,19,2,1,1,0,0
65,NAS,"2,073,254,898","53,464,804",2.58%,"3,118,058,663","17,759,636","3,805,355,474",35,"58,310,539",1,0,0,0,0,7,5,0,0,0,0,0
66,OP_,"1,401,872,088","79,778,430",5.69%,"3,402,568,036","21,149,992","3,459,517,974",15,"84,698,135",2,1,0,0,0,8,5,3,2,0,0,0
