KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+,Total KD Power,#1 Ally Power,CH16,Lords,CH16 AP,Lords AP,60M+,CH16 Kvk,CH25 Kvk,Allies,Ally Lords,Unique Alliances in KD,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,,
17,'ED',17968852958,2176843894,12.11%,52727840765,214418934,54708651327,188,95242258,"19,655,909,687",149,96,20,5,1,95,30,9,1,0,0,0,166,428,"45,849,349",600,"32,759,849",0,0,13,439,"16,687,428,716",'ED',"16,687,428,716",'ED',"17,968,852,958","2,176,843,894","52,727,840,765","54,708,651,327","214,418,934",69,9,7
18,'BF',3060311052,384469,0.01%,2209639908,18104925,3467431798,49,59179060,"3,246,027,676",10,2,0,0,0,0,0,0,0,0,0,0,20,86,"37,475,160",212,"15,311,451",0,0,6,71,"1,732,289,366",'BF',"1,732,289,366",'BF',"3,060,311,052","384,469","2,209,639,908","3,467,431,798","18,104,925",5,16,18
19,'EXP,1973314751,161624603,8.19%,3680705081,16041095,3716330110,27,71836332,"2,250,186,565",14,6,2,0,0,5,3,2,1,1,0,0,17,76,"29,227,365",212,"10,614,088",0,0,7,103,"1,838,613,097",'EXP,"1,838,613,097",'EXP,"1,973,314,751","161,624,603","3,680,705,081","3,716,330,110","16,041,095",11,5,4
20,BD20,2440114654,14200043,0.58%,1604723500,25826621,3638341107,38,52173702,"2,581,871,939",5,1,0,0,0,0,0,0,0,0,0,0,13,83,"30,822,584",221,"11,682,678",0,0,4,70,"1,675,709,784",BD20,"1,675,709,784",BD20,"2,440,114,654","14,200,043","1,604,723,500","3,638,341,107","25,826,621",11,26,10
21,W E,11892792264,280156281,2.36%,9865941526,146745812,19720969733,222,48919445,"12,545,336,253",19,6,3,0,0,7,2,0,0,0,0,0,50,357,"35,068,335",499,"25,140,954",0,0,7,250,"5,633,125,143","W E,WEA","8,162,651,473","W E,WEA","11,892,792,264","280,156,281","9,865,941,526","19,720,969,733","146,745,812",48,102,92
22,VP22,13883830182,1978001635,14.25%,35309958762,163455329,41623034711,154,89717406,"15,230,114,990",105,61,8,1,0,77,35,10,2,2,0,0,132,334,"45,488,601",527,"28,899,649",0,0,8,296,"13,332,048,129",VP22,"13,332,048,129",VP22,"13,883,830,182","1,978,001,635","35,309,958,762","41,623,034,711","163,455,329",56,10,15
23,,1988666962,12547470,0.63%,1337435244,12699009,2550903504,27,66880311,"2,165,608,695",8,2,0,0,0,0,0,0,0,0,0,0,18,75,"28,524,799",239,"9,061,124",0,0,11,58,,,,,"1,988,666,962","12,547,470","1,337,435,244","2,550,903,504","12,699,009",4,9,5
24,ASG-,3521966321,70335796,2.00%,1803961367,22042359,3701836385,63,49155774,"3,834,076,924",5,1,0,0,0,1,0,0,0,0,0,0,14,125,"30,440,497",277,"13,841,433",0,0,8,132,"2,945,724,780",ASG-,"2,945,724,780",ASG-,"3,521,966,321","70,335,796","1,803,961,367","3,701,836,385","22,042,359",25,30,28
25,TER5,2090700998,21710252,1.04%,973705327,22337020,2409810155,40,44362223,"2,424,833,735",1,0,0,0,0,0,0,0,0,0,0,0,7,104,"23,058,550",245,"9,897,281",0,0,7,83,"1,749,753,428",TER5,"1,749,753,428",TER5,"2,090,700,998","21,710,252","973,705,327","2,409,810,155","22,337,020",19,22,18
26,ETR,4630805328,19486827,0.42%,3376991870,42330084,6235796589,85,48296206,"5,310,978,589",7,3,0,0,0,1,0,0,0,0,0,0,20,229,"23,047,202",403,"13,178,607",124,53,9,219,"3,802,382,660",ETR,"3,802,382,660",ETR,"4,630,805,328","19,486,827","3,376,991,870","6,235,796,589","42,330,084",36,47,30
27,LAWS,7687081654,424923385,5.53%,11878180852,92040109,18082974981,97,77195048,"8,370,615,283",52,18,0,0,0,12,1,0,0,0,0,0,73,204,"40,884,758",375,"22,321,641",0,0,8,173,"6,229,812,613",LAWS,"6,229,812,613",LAWS,"7,687,081,654","424,923,385","11,878,180,852","18,082,974,981","92,040,109",24,16,11
28,RAvN,4175309594,116916969,2.80%,3536574704,46526844,6784810984,66,60717781,"4,514,540,955",16,2,0,0,0,1,0,0,0,0,0,0,34,121,"37,066,518",284,"15,896,271",0,0,9,115,"3,909,390,253",RAvN,"3,909,390,253",RAvN,"4,175,309,594","116,916,969","3,536,574,704","6,784,810,984","46,526,844",16,21,15
29,SGW,1796318454,12943173,0.72%,1974226050,17188999,2416583157,31,54898173,"1,949,433,869",5,3,1,0,0,0,0,0,0,0,0,0,9,64,"29,985,264",257,"7,585,346",0,0,8,109,"1,143,320,855",SGW,"1,143,320,855",SGW,"1,796,318,454","12,943,173","1,974,226,050","2,416,583,157","17,188,999",8,7,15
30,30NA,23583333674,4367358711,18.52%,101814850526,394465842,82252610306,182,130296436,"26,388,100,224",168,149,79,39,17,163,98,55,27,9,7,3,171,600,"43,977,970",601,"43,906,989",0,0,12,524,"23,466,027,207",30NA,"23,466,027,207",30NA,"23,583,333,674","4,367,358,711","101,814,850,526","82,252,610,306","394,465,842",101,0,0
31,POTC,5828127305,190527678,3.27%,6536750092,66065181,10548529529,84,66489895,"6,444,238,897",31,12,1,0,0,6,1,0,0,0,0,0,50,213,"30,003,242",492,"13,098,047",0,0,15,149,"4,115,878,358",POTC,"4,115,878,358",POTC,"5,828,127,305","190,527,678","6,536,750,092","10,548,529,529","66,065,181",25,25,13
32,BDF:,6544911716,165083244,2.52%,5622931271,51519405,10273201203,92,64113474,"7,239,602,214",24,5,0,0,0,5,1,0,0,0,0,0,55,251,"28,640,375",561,"12,904,817",89,58,15,185,"4,628,136,435",BDF:,"4,628,136,435",BDF:,"6,544,911,716","165,083,244","5,622,931,271","10,273,201,203","51,519,405",37,29,21
33,AM33,3032326318,70137550,2.31%,2397767829,21479044,3114706215,51,51184496,"3,751,118,898",10,4,0,0,0,2,1,0,0,0,0,0,13,191,"19,321,248",445,"8,429,481",0,0,19,213,"2,748,971,411",AM33,"2,748,971,411",AM33,"3,032,326,318","70,137,550","2,397,767,829","3,114,706,215","21,479,044",36,27,16
34,-VC,4125835504,34468942,0.84%,2091199444,39875563,5138963845,74,52801691,"4,380,878,154",5,1,0,0,0,1,0,0,0,0,0,0,26,137,"31,652,018",388,"11,290,923",0,0,9,137,"3,409,436,591",-VC,"3,409,436,591",-VC,"4,125,835,504","34,468,942","2,091,199,444","5,138,963,845","39,875,563",14,20,29
